marke,name,laenge_cm,breite_cm,hoehe_cm,volumen_l,gewicht_kg,max_zuladung_kg,quelle,confidence
Thule,Thule Force XT XL,210,86,44,500,21.3,75,https://www.autoteiledirekt.de/thule-13657279.html,medium
Thule,Thule Motion 3 L,194,87,42,440,20,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-l-_-639700,high
Thule,Thule Motion 3 L Low,194,87,35,370,20,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-l-low-_-639300,high
Thule,Thule Motion 3 M,175,84,44,390,17,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-m-_-639200,high
Thule,Thule Motion 3 Sport,188,65,42,300,15,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-sport-_-639600,high
Thule,Thule Motion 3 XL,215,89,43,490,23,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-xl-_-639800,high
Thule,Thule Motion 3 XL Low,216,89,36,400,23,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-xl-low-_-639400,high
Thule,Thule Motion 3 XXL,232,92,46,590,25,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-xxl-_-639900,high
Thule,Thule Motion 3 XXL Low,232,92,37,480,25,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-motion-3-xxl-low-_-639500,high
Thule,Thule Motion XT Alpine,232,95,35,450,25,75,https://www.merkau.de/motion-xt.html,medium
Thule,Thule Motion XT L,195,89,44,450,20,75,https://www.merkau.de/motion-xt.html,medium
Thule,Thule Motion XT M,175,86.5,46,400,17.5,75,https://www.kfzparts24.de/de/i262644/thule-dachbox-motion-xt-m,medium
Thule,Thule Motion XT Sport,189,67.5,43,300,16,75,https://www.merkau.de/motion-xt.html,medium
Thule,Thule Motion XT XL,215,91.5,44,500,23.5,75,https://www.zumoo.de/THULE-Dachbox-Motion-XT-XL,medium
Thule,Thule Motion XT XXL,232,95,47,610,25.5,75,https://www.zumoo.de/THULE-Dachbox-Motion-XT-XXL,medium
Thule,Thule Ocean 100,139,90.5,39,360,12,50,https://www.sharely.ch/de/mieten/thule-ocean-100-dachbox,medium
Thule,Thule Ocean 200,175,82,45,450,14,50,https://northwesttowbars.co.uk/thule-ocean-200-roof-box,medium
Thule,Thule Ocean 600,190,63,37,330,14,50,https://www.car-roofracks.co.uk/product/thule-ocean-600,medium
Thule,Thule Ocean 780,196,78,45,420,15,50,https://dachboxvermietung.com/unsere-dachboxen-und-traeger/thule-ocean-780/,medium
Thule,Thule Ocean 80,133,86,37,320,10,50,https://www.jeep-eisner.at/teile-zubehoer/teile-zubehoer-angebote/teile/thule-dachbox-ocean-80-13069.html,medium
Thule,Thule Pulse 2 L,194,84,39,450,18.7,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-pulse-2-l-_-610700,high
Thule,Thule Pulse 2 M,175,81,42,400,16,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-pulse-2-m-_-610200,high
Thule,Thule Pulse 2 XL,215,87,40,500,20.2,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-pulse-2-xl-_-610800,high
Thule,Thule Touring Alpine (700),232,70,42,430,15,50,https://www.zumoo.de/THULE-Dachbox-Touring-700,medium
Thule,Thule Touring L (780),196,78,43,420,15,50,https://www.autoteiledirekt.de/thule-13657272.html,medium
Thule,Thule Touring M (200),175,82,45,400,13,50,https://www.autodoc.de/thule/13657267,medium
Thule,Thule Touring S (100),139,90,40,330,10,50,https://www.autodoc.de/thule/13657265,medium
Thule,Thule Touring Sport (600),190,63,39,300,12,50,https://www.autodoc.de/thule/13657268,medium
Thule,Thule Vector Alpine,228,88.5,32,380,30,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-vector-alpine-_-613500,high
Thule,Thule Vector L,231.5,88.5,35.5,430,30,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-vector-l-_-613700,high
Thule,Thule Vector M,212,88,33,360,29,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-vector-m-_-613200,high
Yakima,Yakima CBX LG,210.8,96.5,38.1,453,25.9,,https://yakima.com/products/cbx-16,high
Yakima,Yakima CBX XXL,231.1,96.5,43.2,510,29.5,,https://yakima.com/products/cbx-18,high
Yakima,Yakima SkyBox NX LG,191.8,88.9,40.6,453,21.3,,https://yakima.com/products/skybox-nx-lg,high
Yakima,Yakima SkyBox NX XL,213.4,91.4,41.9,510,24.0,,https://yakima.com/products/skybox-nx-xl,high
Yakima,Yakima SkyTour 310,190,67,36,310,16,75,https://www.escape4x4.de/dachbox-yakima-skytour-310l-e22879.htm,medium
Yakima,Yakima SkyTour 420,205,84,36,420,25,75,https://www.escape4x4.de/dachbox-yakima-skytour-420l-e22877.htm,medium
